171,63,1
170,58,1
172,61,1
152,62,2
153,58,1
148,73,2
159,69,2
178,46,0
179,80,2
178,68,1
169,50,0
152,84,2
181,70,1
149,90,2
157,60,1
154,75,2
178,81,2
167,69,1
164,85,2
161,77,2
171,77,2
186,74,1
186,65,1
140,90,2
173,67,1
166,65,1
148,49,1
167,72,2
168,89,2
164,73,2
147,56,2
184,53,0
187,73,1
152,84,2
172,45,0
152,49,1
143,75,2
164,73,2
152,85,2
144,58,2
176,58,1
155,66,2
183,63,1
188,90,2
173,59,1
159,87,2
188,90,2
175,79,2
148,61,2
157,47,1
143,80,2
160,89,2
165,69,2
170,46,0
174,79,2
170,90,2
180,49,0
163,49,0
171,79,2
183,86,2
170,63,1
142,82,2
182,85,2
187,95,2
171,53,0
187,67,1
173,65,1
185,71,1
169,77,2
146,84,2
178,95,2
182,85,2
148,92,2
169,89,2
188,61,0
184,70,1
154,78,2
184,92,2
146,52,1
188,87,1
151,74,2
172,84,2
150,52,1
152,61,2
176,47,0
161,71,2
185,71,1
151,77,2
155,77,2
178,65,1
170,59,1
143,70,2
169,93,2
164,84,2
186,75,1
144,55,2
171,68,1
166,68,1
177,91,2
175,64,1
150,66,2
162,94,2
148,53,1
150,61,2
146,73,2
178,87,2
163,88,2
170,88,2
159,68,2
183,56,0
176,63,1
158,66,2
179,95,2
142,50,1
186,53,0
161,78,2
162,71,2
156,74,2
149,71,2
182,58,0
161,80,2
159,93,2
154,54,1
150,86,2
188,85,1
141,62,2
180,69,1
187,91,2
166,56,1
183,76,1
156,83,2
160,80,2
184,79,1
164,81,2
160,46,0
147,60,2
153,57,1
151,83,2
166,83,2
181,73,1
144,50,1
179,68,1
158,70,2
164,76,2
175,63,1
159,63,2
168,82,2
146,48,1
147,70,2
169,46,0
152,57,1
171,85,2
159,83,2
170,74,2
180,55,0
159,79,2
159,76,2
160,79,2
174,53,0
171,63,1
169,65,1
167,87,2
145,52,1
164,72,2
184,64,1
147,48,1
149,74,2
156,71,2
143,81,2
186,47,0
166,45,0
162,95,2
152,92,2
140,92,2
184,70,1
186,61,0
175,53,0
152,66,2
161,95,2
172,61,1
187,78,1
162,62,1
151,91,2
164,85,2
147,58,2
159,88,2
188,83,1
179,82,2
